Module,Theta_i,Zone,Ratio,Ratio_Percent,Total_Weighted,Total_BRDF,Point_Count
25,All,specular,0.951151540887,95.1151540887,601.843030697,632.751990431,402
25,All,forward_scatter,0.019370322188,1.9370322188,12.2566099197,632.751990431,239
25,All,backscatter,0.0237796651807,2.37796651807,15.0466304749,632.751990431,419
25,All,residual,0.0058401743588,0.58401743588,3.69538194999,632.751990431,83
25,0,specular,0.730183799099,73.0183799099,13.1073492275,17.9507532811,72
25,0,forward_scatter,0.0838630710318,8.38630710318,1.50540529749,17.9507532811,55
25,0,backscatter,0.18595312987,18.595312987,3.33799875615,17.9507532811,130
25,0,residual,0.0,0.0,0.0,17.9507532811,0
25,15,specular,0.678091839981,67.8091839981,10.9018247218,16.0772097215,83
25,15,forward_scatter,0.108055054417,10.8055054417,1.73722377132,16.0772097215,55
25,15,backscatter,0.200797124139,20.0797124139,3.22825747625,16.0772097215,121
25,15,residual,0.0148751916483,1.48751916483,0.239151575776,16.0772097215,9
25,30,specular,0.656314255646,65.6314255646,8.44891268285,12.8732731465,83
25,30,forward_scatter,0.14444388884,14.444388884,1.85946563537,12.8732731465,52
25,30,backscatter,0.157725441116,15.7725441116,2.03044268563,12.8732731465,65
25,30,residual,0.0415164143986,4.15164143986,0.534452142614,12.8732731465,18
25,45,specular,0.923632909563,92.3632909563,80.4337837614,87.0841466655,83
25,45,forward_scatter,0.0393514402384,3.93514402384,3.42688659322,87.0841466655,47
25,45,backscatter,0.0274641371632,2.74641371632,2.39169094876,87.0841466655,51
25,45,residual,0.0102452648858,1.02452648858,0.892200149941,87.0841466655,24
25,60,specular,0.980320560434,98.0320560434,488.951160304,498.766607616,81
25,60,forward_scatter,0.00747369323724,0.747369323724,3.7276286223,498.766607616,30
25,60,backscatter,0.00813655233954,0.813655233954,4.05824060808,498.766607616,52
25,60,residual,0.00406919398907,0.406919398907,2.02957808166,498.766607616,32
