Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,lobe_specular,lobe_forward_scatter,lobe_backscatter,lobe_residual
1,0,60.0,22.0,60.0,9.67593350268,11.3024811424,-12.5298259425,312.051917498,16.874318301,0.0176181313347,False,False,True,False
1,0,70.0,169.0,70.0,9.70614450674,11.5221227783,-12.7338929927,312.140023055,17.1729829694,0.0177965543697,False,False,True,False
1,0,80.0,90.0,80.0,9.22728120955,11.2065089051,-12.414645407,312.072079689,16.7245108276,0.0167143741347,False,False,True,False
1,0,80.0,320.0,80.0,9.5021474895,11.3950271921,-12.5846748633,312.159849913,16.9770635306,0.0173641898296,False,False,True,False
1,0,20.0,138.0,20.0,12.2605221507,11.538554185,-14.4695796539,308.570096008,18.5069437791,0.0229754085087,False,True,False,False
1,0,50.0,244.0,50.0,9.51214492107,11.4394476421,-12.8919541082,311.583680556,17.2355285119,0.0174928534211,False,False,True,False
1,0,40.0,285.0,40.0,10.1352939368,11.3017597145,-12.8779044943,311.270466677,17.1338902999,0.018564254094,False,True,False,False
1,0,8.0,166.0,8.0,14.7079105532,10.8891013271,-14.7468253446,306.442274423,18.3314316259,0.0281518076571,True,False,False,False
1,0,4.0,55.0,4.0,37.5179664071,4.15281310149,-6.94074395686,300.893092137,8.08824970748,0.108767050725,True,False,False,False
1,0,60.0,68.0,60.0,9.77356114614,11.5413963595,-12.863276899,311.899600457,17.2820057432,0.0179093531435,False,False,True,False
1,0,8.0,97.0,8.0,16.3774880436,10.4949448323,-13.9868649602,306.882469521,17.4864592885,0.0315237157342,True,False,False,False
1,0,30.0,320.0,30.0,11.2595584883,11.5035479245,-13.7640079429,309.887872994,17.9382142228,0.0208712189325,False,True,False,False
1,0,8.0,55.0,8.0,16.7028067694,10.3217454587,-14.0691950648,306.265318207,17.4493747477,0.0323880420591,True,False,False,False
1,0,40.0,60.0,40.0,10.2127987024,11.5014106777,-13.1042110893,311.273041139,17.4356759505,0.0186743065954,False,True,False,False
1,0,80.0,250.0,80.0,9.27134357536,11.3983103833,-12.5966749566,312.140892941,16.9881635134,0.0168875995425,False,False,True,False
1,0,40.0,195.0,40.0,10.1467205519,11.2539995322,-13.0325993775,310.81148978,17.2192088089,0.0185361071601,False,True,False,False
1,0,50.0,193.0,50.0,9.32184027126,11.2314824013,-12.6068883413,311.697858072,16.8843072283,0.0169051892456,False,False,True,False
1,0,70.0,212.0,70.0,9.18562249249,11.2888191129,-12.4205118469,312.267234523,16.7841160477,0.0166969071632,False,False,True,False
1,0,6.0,38.0,6.0,19.480176376,8.6800806442,-13.0026553322,303.725573655,15.6337086348,0.0388867900698,True,False,False,False
1,0,80.0,20.0,80.0,9.39937704135,11.4156752869,-12.8050767854,311.716877554,17.1548137191,0.0173209771224,False,False,True,False
1,0,40.0,300.0,40.0,10.0582278594,11.4943866949,-13.1507228904,311.155075937,17.4660367007,0.0184658597512,False,True,False,False
1,0,50.0,154.0,50.0,9.41838484491,11.3504334722,-12.6050175338,312.002070195,16.962275998,0.0172480705758,False,False,True,False
1,0,50.0,219.0,50.0,9.79026424452,11.507825616,-12.792092015,311.974695567,17.2066169984,0.0179011497144,False,False,True,False
1,0,50.0,64.0,50.0,9.63527008492,11.4588456694,-12.9008569544,311.612238815,17.2550645965,0.0176236803403,False,False,True,False
1,0,70.0,222.0,70.0,9.19186534364,11.3658618382,-12.7151905819,311.792910765,17.0545855082,0.0168612599141,False,False,True,False
1,0,50.0,26.0,50.0,9.47685042923,11.5102369042,-12.7551598125,312.063046391,17.1807932132,0.017392505369,False,False,True,False
1,0,80.0,60.0,80.0,9.7587427198,11.5991439988,-12.8752058571,312.015372589,17.3294854905,0.0179073639406,False,False,True,False
1,0,8.0,138.0,8.0,14.5006588018,11.4172121489,-15.0489117172,307.186630865,18.8897452901,0.0279078703484,True,False,False,False
1,0,80.0,80.0,80.0,9.49914366402,11.4308933061,-12.688161875,312.016009098,17.077903078,0.0173950862899,False,False,True,False
1,0,60.0,135.0,60.0,9.81057532263,11.6980053949,-12.8905134458,312.223412097,17.4071441401,0.0179298304251,False,False,True,False
1,0,6.0,152.0,6.0,18.6295031381,8.9049022353,-12.787906145,304.851556091,15.5829338506,0.0364343552088,True,False,False,False
1,0,20.0,0.0,20.0,12.5056672964,11.4516727229,-14.1861901957,308.911887055,18.2315331341,0.0233379929738,False,True,False,False
1,0,80.0,0.0,80.0,9.37405347524,11.3447450588,-12.5982476956,312.00309391,16.9534387499,0.0170865963843,False,False,True,False
1,0,80.0,210.0,80.0,9.4112629195,11.2799766372,-12.4579072039,312.159176596,16.8058717369,0.0170960789581,False,False,True,False
1,0,50.0,257.0,50.0,9.57331760791,11.4817901324,-12.643468056,312.243226519,17.0788989437,0.0175863628459,False,False,True,False
1,0,70.0,244.0,70.0,9.56942612487,11.2490865011,-12.602831854,311.751591637,16.8929961182,0.0174423589088,False,False,True,False
1,0,60.0,79.0,60.0,9.48983088533,11.6262959856,-12.8614771572,312.11240629,17.337484045,0.0173481771185,False,False,True,False
1,0,30.0,300.0,30.0,11.2330570904,11.7114516954,-13.9745766283,309.964829579,18.2331262474,0.0209390319837,False,True,False,False
1,0,10.0,51.0,10.0,14.4504129166,10.6725757327,-14.5707638563,306.221474298,18.061313134,0.0274540621797,True,False,False,False
1,0,8.0,305.0,8.0,15.041019501,10.8873844929,-14.8683653149,306.213513345,18.4283322152,0.0289498547593,True,False,False,False
1,0,6.0,208.0,6.0,19.1203421208,8.27243127213,-11.9832890548,304.618506504,14.5613301495,0.0370608711568,True,False,False,False
1,0,80.0,220.0,80.0,9.46148068612,11.3862880559,-12.7379151661,311.793193679,17.0851408678,0.017407016774,False,False,True,False
1,0,60.0,0.0,60.0,9.31768242323,11.1573239371,-12.5077937036,311.733910613,16.7609898505,0.0169243239888,False,False,True,False
1,0,40.0,45.0,40.0,10.3321957311,11.5213357467,-13.2168165672,311.07924571,17.5335511965,0.0188945949485,False,True,False,False
1,0,6.0,95.0,6.0,25.8958590694,6.06505788575,-10.0111610841,301.208722402,11.7050533279,0.0571466191905,True,False,False,False
1,0,70.0,32.0,70.0,9.52545071765,11.3347730339,-12.6124566422,311.945929298,16.9573329943,0.0173112178378,False,False,True,False
1,0,6.0,341.0,6.0,16.9772741819,9.56627554205,-13.2385563177,305.852144957,16.3331871086,0.0324950149093,True,False,False,False
1,0,40.0,210.0,40.0,10.0268443373,11.2834930655,-12.9772958814,311.006291008,17.1967271349,0.0183149848134,False,True,False,False
1,0,80.0,10.0,80.0,9.55253993956,11.3939718228,-12.715900033,311.861652958,17.0738603587,0.0173655876736,False,False,True,False
1,0,80.0,50.0,80.0,9.49711349969,11.4376893274,-12.829631145,311.717185917,17.1877913784,0.0174123524835,False,False,True,False
1,0,70.0,265.0,70.0,9.43539212784,11.4155318698,-12.6577936913,312.045971833,17.0450611323,0.0172492166635,False,False,True,False
1,0,70.0,53.0,70.0,9.87938961673,11.6194509261,-12.9115979541,311.984792024,17.3701180639,0.0181892601915,False,False,True,False
1,0,70.0,296.0,70.0,9.9593560205,11.7269888544,-13.0002325579,312.05235305,17.5079500271,0.0183810797893,False,False,True,False
1,0,60.0,34.0,60.0,9.61283109516,11.3363833413,-12.6645118532,311.832675292,16.9971599904,0.0175609019367,False,False,True,False
1,0,2.0,206.0,2.0,45.526443395,2.37153907762,-5.00485187854,295.353840359,5.53829756539,0.157821849058,True,False,False,False
1,0,80.0,280.0,80.0,9.64425168386,11.5398079205,-12.7534476814,312.140001558,17.199348668,0.0176875223405,False,False,True,False
1,0,60.0,11.0,60.0,9.63670736639,11.4494343258,-12.7463666966,311.931793769,17.1335755271,0.0175662798894,False,False,True,False
1,0,50.0,334.0,50.0,9.74307799778,11.4285611166,-12.7142107421,311.95176733,17.0957060102,0.0178086620268,False,False,True,False
1,0,80.0,260.0,80.0,9.8488872697,11.6259466303,-12.8307341501,312.179769288,17.3144556334,0.0181097446153,False,False,True,False
1,0,60.0,225.0,60.0,9.45262481524,11.2943113052,-12.6171929995,311.833392489,16.9338426545,0.0172067147531,False,False,True,False
1,0,60.0,169.0,60.0,9.38101510583,11.2955758566,-12.4626784473,312.187657819,16.8198807371,0.0170602615098,False,False,True,False
1,0,6.0,303.0,6.0,18.7707631761,9.02244685739,-13.0584375002,304.641700904,15.8722190396,0.036922622936,True,False,False,False
1,0,70.0,42.0,70.0,9.60969472497,11.3635482245,-12.7644387955,311.677090948,17.0897959618,0.0176307869182,False,False,True,False
1,0,30.0,260.0,30.0,11.4747613731,11.3330244706,-13.5488010443,309.911119391,17.6637327139,0.0211586684682,False,True,False,False
1,0,70.0,307.0,70.0,9.39093525953,11.4336937112,-12.6085242067,312.202449086,17.0207001781,0.0171453396154,False,False,True,False
1,0,70.0,106.0,70.0,9.47237471854,11.4138191132,-12.6665935835,312.021893359,17.0504504268,0.0172465407982,False,False,True,False
1,0,50.0,296.0,50.0,9.57486909879,11.314889774,-12.7000231311,311.698948498,17.0093303257,0.0174354747163,False,False,True,False
1,0,30.0,240.0,30.0,11.2470204019,11.4944808972,-13.6320138729,310.137505215,17.8312897269,0.0207544572894,False,True,False,False
1,0,70.0,201.0,70.0,9.29850802004,11.3772773887,-12.6349366151,312.001826529,17.0024722922,0.0170516614886,False,False,True,False
1,0,8.0,111.0,8.0,15.826303038,10.6551523677,-14.6554891856,306.018716318,18.1194822015,0.0306243875799,True,False,False,False
1,0,20.0,332.0,20.0,12.4879553819,11.66913826,-14.6539516797,308.530780132,18.7325141815,0.0236010878196,False,True,False,False
1,0,8.0,249.0,8.0,16.7175218002,9.98945781264,-14.0097799844,305.490183404,17.2064872244,0.0323761734909,True,False,False,False
1,0,50.0,116.0,50.0,9.6651188689,11.4572784817,-12.7432300636,311.958313143,17.136485715,0.0176895520029,False,False,True,False
1,0,30.0,60.0,30.0,11.2747771759,11.6533362259,-13.9759997232,309.821704371,18.1969451683,0.020948542788,False,True,False,False
1,0,70.0,127.0,70.0,9.59261058145,11.3547048957,-12.6192350489,311.980673093,16.9757007657,0.0175057909116,False,False,True,False
1,0,30.0,40.0,30.0,11.1160350023,11.2745509318,-13.5994077106,309.660334477,17.6652027669,0.0204019924893,False,True,False,False
1,0,20.0,83.0,20.0,12.8665123136,11.0555323331,-13.9850581907,308.327237434,17.8271323484,0.0238646114668,False,True,False,False
1,0,2.0,0.0,2.0,38.7237491457,3.04075247102,-5.55370312051,298.701498789,6.33165017518,0.113638115247,True,False,False,False
1,0,60.0,326.0,60.0,9.65887280166,11.5305053032,-12.7653054708,312.090526534,17.2019061825,0.0176251090612,False,False,True,False
1,0,20.0,249.0,20.0,12.7031388042,11.4162797121,-14.5553843734,308.108288448,18.4983960581,0.0239030538581,False,True,False,False
1,0,80.0,100.0,80.0,9.58257358826,11.4014506772,-12.6352842708,312.061519966,17.0189155397,0.0174773202928,False,False,True,False
1,0,80.0,190.0,80.0,9.52397954501,11.5731768986,-12.8202615902,312.073371331,17.271292099,0.0174245527892,False,False,True,False
1,0,70.0,95.0,70.0,9.58866839543,11.6008466217,-12.846130086,312.083980014,17.3090352281,0.0176041793376,False,False,True,False
1,0,4.0,28.0,4.0,27.5254119007,5.86432140499,-9.14815659174,302.661438574,10.8664177431,0.0626866579177,True,False,False,False
1,0,30.0,160.0,30.0,11.1363874146,11.4580332166,-13.6630149976,309.983760407,17.8315592144,0.0205554119102,False,True,False,False
1,0,40.0,240.0,40.0,9.99750791325,11.361329713,-13.0637260622,311.013002459,17.3130225979,0.0183002662547,False,True,False,False
1,0,70.0,11.0,70.0,9.63719723079,11.5074537001,-12.8968978476,311.741423999,17.2844283895,0.017685572403,False,False,True,False
1,0,4.0,194.0,4.0,28.3053229961,5.47169451329,-8.36813245323,303.179582648,9.99825392764,0.0650100815677,True,False,False,False
1,0,40.0,30.0,40.0,9.7644235943,10.9175199891,-12.3913246663,311.382037578,16.5147561198,0.0175743781386,False,True,False,False
1,0,40.0,90.0,40.0,10.3536708625,11.3030633485,-12.8981889237,311.22903971,17.1500005414,0.0188557869716,False,True,False,False
1,0,2.0,154.0,2.0,34.8165284298,3.34769825507,-6.77421068498,296.297789407,7.55625661367,0.0929638121568,True,False,False,False
1,0,50.0,309.0,50.0,9.47045940988,11.3899354476,-12.7750554046,311.719436603,17.115275928,0.0173083973575,False,False,True,False
1,0,60.0,338.0,60.0,9.49007534456,11.5320505442,-12.7529446617,312.121957996,17.193771759,0.0174048992944,False,False,True,False
1,0,8.0,28.0,8.0,15.2138015207,10.8754150506,-14.6973350139,306.499897306,18.2834982713,0.0293284720712,True,False,False,False
1,0,20.0,277.0,20.0,12.5712600474,11.209070513,-14.3050053288,308.081426348,18.173509271,0.0234570155949,False,True,False,False
1,0,6.0,284.0,6.0,22.366950013,7.73088053224,-11.1625558602,304.705413335,13.5782608288,0.0461458046988,True,False,False,False
1,0,50.0,347.0,50.0,9.74736406435,11.4448176984,-12.9131779748,311.550243315,17.2549708073,0.0177419406696,False,False,True,False
1,0,40.0,135.0,40.0,9.97233831392,11.3446587025,-13.0997516861,310.893247087,17.3293039478,0.0181643456119,False,True,False,False
1,0,4.0,277.0,4.0,45.8395448651,2.32002460371,-4.1129479972,299.42640059,4.72216638732,0.159058558351,True,False,False,False
1,0,6.0,19.0,6.0,17.1090790931,9.45384278761,-13.9632978541,304.099942076,16.8626460087,0.0330834138683,True,False,False,False
1,0,20.0,166.0,20.0,12.5037951566,11.6533487342,-14.523582069,308.742661223,18.6208209496,0.0235753834038,False,True,False,False
1,0,80.0,300.0,80.0,9.5557478536,11.4622958336,-12.6042581217,312.283342664,17.0367704855,0.0174350308604,False,False,True,False
1,0,6.0,171.0,6.0,17.041978353,9.85976458483,-13.6762967572,305.789273337,16.8598947405,0.0329455107323,True,False,False,False
1,0,8.0,332.0,8.0,14.5912920306,11.259326849,-14.8497554743,307.169997795,18.6356561124,0.0281274927915,True,False,False,False
1,0,60.0,236.0,60.0,9.54479228756,11.37046809,-12.8048589643,311.604459338,17.1246009496,0.0174761438651,False,False,True,False
1,0,80.0,340.0,80.0,9.59075372364,11.5221808942,-12.773296281,312.05211108,17.2022600387,0.0175175215702,False,False,True,False
1,0,70.0,64.0,70.0,9.29465813195,11.4784194526,-12.6974020965,312.11350189,17.1166040186,0.0169921929754,False,False,True,False
1,0,10.0,103.0,10.0,14.1182721435,11.6986763154,-15.5055800538,307.033885026,19.4237493892,0.0273838626111,True,False,False,False
1,0,6.0,322.0,6.0,18.7743167169,9.19079846645,-12.6665444294,305.964501996,15.6496685023,0.0369286347262,True,False,False,False
1,0,20.0,305.0,20.0,12.6143996872,11.6845778844,-14.7438831522,308.396945084,18.8125344051,0.0238487280417,False,True,False,False
1,0,30.0,140.0,30.0,11.0747820435,11.4189594965,-13.6393710285,309.936262609,17.7883410704,0.0204769278767,False,True,False,False
1,0,20.0,55.0,20.0,12.5132787406,11.0325497755,-14.0926964183,308.055823415,17.8975206911,0.0231184419532,False,True,False,False
1,0,80.0,130.0,80.0,9.69249194502,11.5482875667,-12.9181377413,311.795413548,17.3274703413,0.0177689227634,False,False,True,False
1,0,40.0,165.0,40.0,9.94547707462,11.2951381269,-12.9392480868,311.118885039,17.1756888175,0.0181349003075,False,True,False,False
1,0,70.0,233.0,70.0,9.78410700554,11.6819788621,-12.8505855571,312.272781757,17.366812583,0.0179662955873,False,False,True,False
1,0,8.0,291.0,8.0,15.873595617,10.4288595706,-14.4976049967,305.729371706,17.8589378907,0.0306676278133,True,False,False,False
1,0,2.0,257.0,2.0,53.5446477146,1.37372863923,-3.74416367756,290.14801955,3.98821915379,0.223337243654,True,False,False,False
1,0,80.0,170.0,80.0,9.2626366345,11.0554710241,-12.2764977058,312.004285646,16.5207698212,0.0168229599454,False,False,True,False
1,0,6.0,133.0,6.0,18.9883515673,8.83330623215,-13.0502262157,304.09289127,15.758670733,0.0375408552329,True,False,False,False
1,0,80.0,140.0,80.0,9.73359994931,11.5310273655,-12.8709224396,311.857082425,17.2807765031,0.0179074539773,False,False,True,False
1,0,70.0,21.0,70.0,9.25354731041,11.2119389623,-12.4850884066,311.924676508,16.780494862,0.0167809713142,False,False,True,False
1,0,8.0,222.0,8.0,16.4912765582,9.75230902338,-13.9051803024,305.043653252,16.9841564563,0.0316032052802,True,False,False,False
1,0,80.0,330.0,80.0,9.3630859508,11.642964261,-12.8567475291,312.16372813,17.3451599534,0.0171716380513,False,False,True,False
1,0,20.0,222.0,20.0,12.2716247999,11.5176074311,-14.4310330834,308.593852351,18.4637481783,0.0230412970908,False,True,False,False
1,0,60.0,56.0,60.0,9.27947881989,11.3528425778,-12.4792747228,312.293911804,16.8706648418,0.0168818053001,False,False,True,False
1,0,10.0,154.0,10.0,13.5174913442,11.3558790308,-14.8093422315,307.481174374,18.6620632807,0.0257064932034,True,False,False,False
1,0,60.0,124.0,60.0,9.27597283938,11.346846365,-12.5626382995,312.089029695,16.9284022717,0.0168642504765,False,False,True,False
1,0,40.0,15.0,40.0,10.085658835,11.2924751722,-13.0286961106,310.91674015,17.241430273,0.0183797943421,False,True,False,False
1,0,80.0,200.0,80.0,9.56722999281,11.4911513842,-12.7795806577,311.961264658,17.1861642585,0.0174714729428,False,False,True,False
1,0,50.0,180.0,50.0,9.52795009125,11.3509958851,-12.7102069976,311.76681248,17.0409644535,0.0173316534838,False,False,True,False
1,0,60.0,292.0,60.0,9.54102465634,11.5046270527,-12.6194026869,312.354234174,17.0764682472,0.0174046108413,False,False,True,False
1,0,6.0,227.0,6.0,22.1187939906,7.62968539303,-10.8551663456,305.101931504,13.2682604583,0.0451870764106,True,False,False,False
1,0,40.0,180.0,40.0,10.411845742,11.57972611,-13.2085794676,311.240467286,17.5657800378,0.0192108897065,False,True,False,False
1,0,50.0,141.0,50.0,9.8621971665,11.5159501669,-12.8674465096,311.827518078,17.2681292538,0.0180281603333,False,False,True,False
1,0,8.0,277.0,8.0,16.4402248332,10.4148867221,-14.0934240206,306.463997111,17.524110992,0.03181143748,True,False,False,False
1,0,8.0,83.0,8.0,18.1631393392,9.22737355407,-13.255564109,304.842287067,16.1509876649,0.0355496884696,True,False,False,False
1,0,6.0,189.0,6.0,15.9168887352,10.2432532562,-14.2383242922,305.731777881,17.5400717193,0.0305768691183,True,False,False,False
1,0,60.0,45.0,60.0,9.36229697102,11.3076575246,-12.4881075902,312.160023766,16.8468379786,0.017009852717,False,False,True,False
1,0,60.0,158.0,60.0,9.68723930616,11.7053575078,-12.8515686129,312.327620383,17.383273863,0.0177164832697,False,False,True,False
1,0,20.0,194.0,20.0,12.6912707117,11.2883089712,-14.2511710488,308.382636983,18.1802584055,0.0236400284993,False,True,False,False
1,0,50.0,231.0,50.0,9.73868254371,11.490374043,-12.8069145619,311.898480162,17.2059802465,0.0178233838958,False,False,True,False
1,0,4.0,249.0,4.0,39.2091723636,3.00578542461,-6.29777952576,295.514070602,6.97830731438,0.11681965012,True,False,False,False
