Module,Theta_i,Zone,Ratio,Ratio_Percent,Total_Weighted,Total_BRDF,Point_Count
27,All,specular,0.943914141188,94.3914141188,496.720235661,526.234552473,402
27,All,forward_scatter,0.022385995245,2.2385995245,11.7802841894,526.234552473,239
27,All,backscatter,0.0272421183088,2.72421183088,14.3357439367,526.234552473,419
27,All,residual,0.0066261849721,0.66261849721,3.48692748339,526.234552473,83
27,0,specular,0.710453015167,71.0453015167,11.2257364829,15.8008147524,72
27,0,forward_scatter,0.0895119824684,8.95119824684,1.4143622531,15.8008147524,55
27,0,backscatter,0.200035002365,20.0035002365,3.16071601637,15.8008147524,130
27,0,residual,0.0,0.0,0.0,15.8008147524,0
27,15,specular,0.595818639993,59.5818639993,7.22755453406,12.1304605948,83
27,15,forward_scatter,0.134413759347,13.4413759347,1.63050081115,12.1304605948,55
27,15,backscatter,0.253340074731,25.3340074731,3.0731317936,12.1304605948,121
27,15,residual,0.0187750063492,1.87750063492,0.227749474685,12.1304605948,9
27,30,specular,0.551489860176,55.1489860176,5.08512366833,9.22070202107,83
27,30,forward_scatter,0.186215987762,18.6215987762,1.71704213471,9.22070202107,52
27,30,backscatter,0.207872823784,20.7872823784,1.91673336639,9.22070202107,65
27,30,residual,0.0544213282777,5.44213282777,0.50180285164,9.22070202107,18
27,45,specular,0.891890503434,89.1890503434,50.7299645185,56.8791396737,83
27,45,forward_scatter,0.0550434477701,5.50434477701,3.13082395384,56.8791396737,47
27,45,backscatter,0.039270607374,3.9270607374,2.2336783619,56.8791396737,51
27,45,residual,0.0148531715326,1.48531715326,0.8448356182,56.8791396737,24
27,60,specular,0.977437525539,97.7437525539,422.451856457,432.203435431,81
27,60,forward_scatter,0.00899473423373,0.899473423373,3.88755503661,432.203435431,30
27,60,backscatter,0.00914264921207,0.914264921207,3.9514843984,432.203435431,52
27,60,residual,0.00442509101521,0.442509101521,1.91253953887,432.203435431,32
