Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,zone_specular,zone_forward_scatter,zone_backscatter,zone_residual
18,0,2.0,309.0,2.0,85.2581018875,24.3522572666,29.6901730923,50.640960847,38.3997241166,0.631179816693,True,False,False,False
18,0,70.0,159.0,70.0,12.9891657447,13.0701174311,-14.6170898315,311.802027479,19.6083473247,0.0256340169307,False,False,True,False
18,0,50.0,90.0,50.0,13.2577533437,13.1921487587,-14.3938866887,312.505585581,19.5247730557,0.0261408717233,False,False,True,False
18,0,40.0,255.0,40.0,13.9872530346,13.1891538565,-13.8503458563,313.599235805,19.1255290068,0.0274361501817,False,True,False,False
18,0,80.0,310.0,80.0,12.8876293561,13.162749476,-14.6606890883,311.918323348,19.7026337913,0.025347676011,False,False,True,False
18,0,4.0,83.0,4.0,78.1892730811,23.9477949327,28.9849683352,50.4359960052,37.5982083553,0.507293521113,True,False,False,False
18,0,10.0,257.0,10.0,50.159725644,19.3403757675,19.0816464625,44.6141829011,27.1690884379,0.180501129409,True,False,False,False
18,0,80.0,40.0,80.0,12.8113258499,12.926694002,-14.3571010351,311.998902776,19.3190519424,0.0250876411398,False,False,True,False
18,0,50.0,51.0,50.0,12.842330827,12.695523635,-13.9586118221,312.28689293,18.868470112,0.0248749815101,False,False,True,False
18,0,60.0,349.0,60.0,12.7188370421,12.9313209292,-14.2646129465,312.193297668,19.253525482,0.0248118744598,False,False,True,False
18,0,70.0,286.0,70.0,13.0150135492,12.985513377,-14.4420796105,311.96011327,19.4215658776,0.0256199948957,False,False,True,False
18,0,80.0,70.0,80.0,12.9887635993,13.1785814878,-14.703673732,311.869178584,19.7452027401,0.025630458883,False,False,True,False
18,0,50.0,167.0,50.0,13.1301654517,13.0234999072,-14.2264756397,312.472265285,19.2874093377,0.0257315648128,False,False,True,False
18,0,8.0,346.0,8.0,62.6830422597,23.6390925952,28.4726434293,50.2992273874,37.006730774,0.296618051233,True,False,False,False
