Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,zone_specular,zone_forward_scatter,zone_backscatter,zone_residual
20,0,2.0,309.0,2.0,78.4809992881,21.8938393025,26.5225835766,50.4610379845,34.391679793,0.517195117558,True,False,False,False
20,0,70.0,159.0,70.0,10.8765909581,12.143676403,-13.3845850835,312.217087788,18.072520423,0.0203462067349,False,False,True,False
20,0,50.0,90.0,50.0,10.9021555186,12.0500630238,-13.2919156594,312.194534697,17.9409877313,0.0203986549269,False,False,True,False
20,0,40.0,255.0,40.0,11.05942131,12.2068878433,-13.2325276831,312.691258859,18.0029969645,0.0206422924998,False,True,False,False
20,0,80.0,310.0,80.0,10.7001150653,12.0253842335,-13.2137140106,312.304339646,17.8665078826,0.0199729484272,False,False,True,False
20,0,4.0,83.0,4.0,64.9552211218,20.8006978768,24.9941226129,50.2319749228,32.5173061207,0.325218713817,True,False,False,False
20,0,10.0,257.0,10.0,42.3203633249,17.6717371904,16.9464368199,43.7997468875,24.484117632,0.125087735248,True,False,False,False
20,0,80.0,40.0,80.0,10.913866939,12.2744763509,-13.5793760401,312.110610288,18.3047049506,0.0204890787531,False,False,True,False
20,0,50.0,51.0,50.0,11.2922338103,12.253226952,-13.4961540561,312.236467768,18.2287614786,0.0211760755813,False,False,True,False
20,0,60.0,349.0,60.0,11.0106249495,12.0953324423,-13.2895706106,312.30649382,17.9696898666,0.0205727227198,False,False,True,False
20,0,70.0,286.0,70.0,11.0332612525,11.9880790762,-13.4265395242,311.760530876,17.999611205,0.0206790438096,False,False,True,False
20,0,80.0,70.0,80.0,10.7830064011,12.0435491898,-13.4846284612,311.769051695,18.079886112,0.0202045341794,False,False,True,False
20,0,50.0,167.0,50.0,11.0165031394,12.0307907038,-13.2443198879,312.251179319,17.8927900075,0.02067633304,False,False,True,False
20,0,8.0,346.0,8.0,54.0091870118,21.4957962546,24.7788210061,49.0581386141,32.8033417059,0.211044287214,True,False,False,False
20,0,4.0,305.0,4.0,64.0423451541,21.4974900515,26.9395882032,51.4105243976,34.4656857044,0.312405916757,True,False,False,False
20,0,70.0,148.0,70.0,11.1818115224,12.2277373195,-13.6789898224,311.793735109,18.3475426833,0.0211244245926,False,False,True,False
20,0,30.0,220.0,30.0,12.7146215491,11.7644535551,-11.1129492714,316.63123235,16.1833250279,0.0228648842628,False,True,False,False
20,0,8.0,180.0,8.0,55.7134586387,21.5917545665,25.6650510891,49.9264287306,33.5395097261,0.226502356002,True,False,False,False
20,0,50.0,103.0,50.0,10.7973656323,12.1913622474,-13.3274243982,312.450951859,18.062379537,0.020180690722,False,False,True,False
20,0,60.0,281.0,60.0,11.1502753319,12.151704989,-13.4100774239,312.181680465,18.0967983537,0.0209429136954,False,False,True,False
20,0,70.0,339.0,70.0,11.0495453769,11.9312417689,-13.369096798,311.747296403,17.9189084306,0.0206673021751,False,False,True,False
20,0,70.0,349.0,70.0,11.3160419533,12.3641121793,-13.7541329313,311.953575681,18.4945246674,0.0214140233058,False,False,True,False
