Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,zone_specular,zone_forward_scatter,zone_backscatter,zone_residual
27,0,2.0,309.0,2.0,64.5450977027,-30.5967735522,7.33429081513,166.520087976,31.4635403851,0.295775486016,True,False,False,False
27,0,70.0,159.0,70.0,12.5875151627,12.9684985907,-14.4845120247,311.839215924,19.4417860366,0.0245676090474,False,False,True,False
27,0,50.0,90.0,50.0,12.7506638138,12.9554770158,-14.5119237305,311.75678949,19.4535424811,0.02496138262,False,False,True,False
27,0,40.0,255.0,40.0,12.6075655794,12.579201864,-14.3228352715,311.291608211,19.0625268458,0.0244298522715,False,True,False,False
27,0,80.0,310.0,80.0,12.2718696213,12.6918358818,-14.0597467099,312.0727969,18.9409391425,0.0236708306102,False,False,True,False
27,0,4.0,83.0,4.0,55.5322365299,-22.4134201419,4.20021178062,169.386035777,22.80357826,0.213354021842,True,False,False,False
27,0,10.0,257.0,10.0,30.3173457825,-10.5181385216,-4.03458288952,200.985982375,11.2653937815,0.065775648205,True,False,False,False
27,0,80.0,40.0,80.0,12.3910269567,12.7335453094,-14.1503917913,311.983169213,19.0361961535,0.0239531261892,False,False,True,False
27,0,50.0,51.0,50.0,12.6879741051,12.673727216,-14.2407612487,311.667847152,19.0636471455,0.0245832292928,False,False,True,False
27,0,60.0,349.0,60.0,12.3571080687,12.7009510956,-14.0838360901,312.044472153,18.964930734,0.0237351082956,False,False,True,False
27,0,70.0,286.0,70.0,13.0398760121,12.9498509929,-14.3403263105,312.083216706,19.3221013203,0.0256438649157,False,False,True,False
27,0,80.0,70.0,80.0,12.7310748965,12.9814317631,-14.3408527893,312.151595818,19.343671558,0.0248329270975,False,False,True,False
27,0,50.0,167.0,50.0,12.2260062075,12.5712197527,-13.9460479652,312.032070296,18.7757242182,0.0234350603203,False,False,True,False
27,0,8.0,346.0,8.0,43.4855837903,-28.0940426362,5.13488791621,169.642096564,28.5594521228,0.118856222028,True,False,False,False
27,0,4.0,305.0,4.0,53.7283685122,-27.3908521585,5.3555881841,168.936831965,27.9095164195,0.193413713956,True,False,False,False
27,0,70.0,148.0,70.0,12.3906190461,12.5863873255,-13.9688771572,312.019823086,18.8028368854,0.023907051585,False,False,True,False
27,0,30.0,220.0,30.0,12.6486422745,12.4243271081,-14.0892307103,311.406862297,18.7848429883,0.024443174918,False,True,False,False
27,0,8.0,180.0,8.0,48.9232500451,-32.6546392939,6.87886597657,168.104277064,33.3713090025,0.151204419268,True,False,False,False
27,0,50.0,103.0,50.0,12.7207492325,12.798058194,-14.380151232,311.66846809,19.2504296833,0.0248497343196,False,False,True,False
27,0,60.0,281.0,60.0,12.5218990959,13.0258712994,-14.4651861606,312.002973047,19.465737432,0.0244216584704,False,False,True,False
27,0,70.0,339.0,70.0,12.2786948058,12.6546446842,-14.0480481435,312.012893339,18.9073448354,0.0237015486424,False,False,True,False
27,0,70.0,349.0,70.0,12.384003939,12.679006649,-13.9200968585,312.328568048,18.8288689558,0.0238693260735,False,False,True,False
27,0,60.0,259.0,60.0,12.3364405141,12.6982039062,-14.0891199147,312.027619807,18.9670156433,0.0238778593339,False,False,True,False
